Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,85 Turner St,2.0,h,1480000.0,S,Biggin,3/12/2016,2.500000000000001,3067.0,2.0,1.0,1.0,202.0,110.26297737753647,1925.2053560835031,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0
Abbotsford,25 Bloomburg St,2.0,h,1035000.0,S,Biggin,4/02/2016,2.500000000000001,3067.0,2.0,1.0,0.0,156.0,78.99999999999999,1900.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0
Abbotsford,5 Charles St,3.0,h,1465000.0,SP,Biggin,4/03/2017,2.500000000000001,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0
Abbotsford,40 Federation La,3.0,h,850000.0,PI,Biggin,4/03/2017,2.500000000000001,3067.0,3.0,2.0,1.0,94.0,138.1927100659408,1931.106860947494,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0
Abbotsford,55a Park St,4.0,h,1600000.0,VB,Nelson,4/06/2016,2.500000000000001,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0
Abbotsford,129 Charles St,2.0,h,941000.0,S,Jellis,7/05/2016,2.500000000000001,3067.0,2.0,1.0,0.0,181.0,123.12663347330516,1913.3084355134963,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0
Abbotsford,124 Yarra St,3.0,h,1876000.0,S,Nelson,7/05/2016,2.500000000000001,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0
Abbotsford,98 Charles St,2.0,h,1636000.0,S,Nelson,8/10/2016,2.500000000000001,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0
Abbotsford,6/241 Nicholson St,1.0,u,300000.0,S,Biggin,8/10/2016,2.500000000000001,3067.0,1.0,1.0,1.0,0.0,98.69016245873328,1949.6828081454566,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0
Abbotsford,10 Valiant St,2.0,h,1097000.0,S,Biggin,8/10/2016,2.500000000000001,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0
Abbotsford,411/8 Grosvenor St,2.0,u,700000.0,VB,Jellis,12/11/2016,2.500000000000001,3067.0,2.0,2.0,1.0,0.0,104.72428013733136,2003.3133677906378,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0
Abbotsford,40 Nicholson St,3.0,h,1350000.0,VB,Nelson,12/11/2016,2.500000000000001,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0
Abbotsford,123/56 Nicholson St,2.0,u,750000.0,S,Biggin,12/11/2016,2.500000000000001,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0
Abbotsford,45 William St,2.0,h,1172500.0,S,Biggin,13/08/2016,2.500000000000001,3067.0,2.0,1.0,1.0,195.0,119.37510377405084,1900.2931758461268,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0
Abbotsford,7/20 Abbotsford St,1.0,u,441000.0,SP,Greg,14/05/2016,2.500000000000001,3067.0,1.0,1.0,1.0,0.0,73.29883754397235,1994.0716434273277,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0
Abbotsford,16 William St,2.0,h,1310000.0,S,Jellis,15/10/2016,2.500000000000001,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0
Abbotsford,42 Henry St,3.0,h,1200000.0,S,Jellis,16/07/2016,2.500000000000001,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0
Abbotsford,78 Yarra St,3.0,h,1176500.0,S,LITTLE,16/07/2016,2.500000000000001,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0
Abbotsford,196 Nicholson St,3.0,h,955000.0,S,Collins,17/09/2016,2.500000000000001,3067.0,3.0,1.0,0.0,183.0,98.36986014061044,1924.5890461860743,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0
Abbotsford,42 Valiant St,2.0,h,890000.0,S,Biggin,17/09/2016,2.500000000000001,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0
Abbotsford,3/72 Charles St,4.0,h,1330000.0,PI,Kay,18/03/2017,2.500000000000001,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0
Abbotsford,13/11 Nicholson St,3.0,t,900000.0,S,Beller,18/03/2017,2.500000000000001,3067.0,3.0,2.0,2.0,0.0,86.38528422337365,2010.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0
Abbotsford,138/56 Nicholson St,3.0,u,1090000.0,S,Jellis,18/03/2017,2.500000000000001,3067.0,3.0,2.0,2.0,4290.0,27.0,1980.499003910169,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0
Abbotsford,6/219 Nicholson St,2.0,u,500000.0,S,Collins,18/06/2016,2.500000000000001,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0
Abbotsford,52a William St,2.0,h,1100000.0,PI,Biggin,18/06/2016,2.500000000000001,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0
Abbotsford,49 Park St,2.0,h,1315000.0,S,Marshall,19/11/2016,2.500000000000001,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0
Abbotsford,5/20 Abbotsford St,1.0,u,426000.0,SP,Greg,22/08/2016,2.500000000000001,3067.0,1.0,1.0,1.0,0.0,97.19870371648928,1978.1144581676592,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0
Abbotsford,48 Abbotsford St,3.0,h,1447500.0,PI,Nelson,22/08/2016,2.500000000000001,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0
Abbotsford,116/56 Nicholson St,1.0,u,457000.0,S,Jellis,22/08/2016,2.500000000000001,3067.0,1.0,1.0,1.0,0.0,50.0,1977.949326599217,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0
Abbotsford,159 Park St,2.0,h,1135000.0,S,Nelson,22/08/2016,2.500000000000001,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0
Abbotsford,31 Turner St,4.0,h,1542000.0,S,Collins,24/09/2016,2.500000000000001,3067.0,4.0,3.0,1.0,0.0,105.08780980525754,1904.95832178973,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0
Abbotsford,166 Gipps St,3.0,h,1290000.0,S,Biggin,25/02/2017,2.500000000000001,3067.0,3.0,2.0,2.0,147.0,18.0,1922.4413446652836,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0
Abbotsford,60 Stafford St,3.0,h,1290000.0,S,Biggin,25/02/2017,2.500000000000001,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0
Abbotsford,11/205 Gipps St,1.0,u,470000.0,S,Nelson,26/07/2016,2.500000000000001,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0
Abbotsford,47 Studley St,2.0,h,1180000.0,S,Jellis,27/11/2016,2.500000000000001,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0
Abbotsford,45 Yarra St,3.0,h,1195000.0,SP,Jellis,27/11/2016,2.500000000000001,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0
Abbotsford,200 Nicholson St,2.0,h,1012500.0,S,Nelson,28/05/2016,2.500000000000001,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0
Abbotsford,27 Charles St,2.0,h,1030000.0,S,Biggin,30/07/2016,2.500000000000001,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0
Airport West,154 Halsey Rd,3.0,t,840000.0,PI,Nelson,3/09/2016,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0
Airport West,50 Bedford St,3.0,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0
Airport West,50 Bedford St,3.0,h,770000.0,SP,Nelson,4/03/2017,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0
Airport West,23 Hart St,2.0,h,603000.0,S,Nelson,4/03/2017,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0
Airport West,1/80 Hawker St,3.0,t,700000.0,S,Brad,4/03/2017,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0
Airport West,1/37 Hillside Gr,3.0,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0
Airport West,2/49 McIntosh St,2.0,u,500000.0,VB,Barry,4/03/2017,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0
Airport West,54 Marshall Rd,3.0,h,720000.0,S,Barry,6/08/2016,13.5,3042.0,2.0,1.0,1.0,620.0,127.02716075815628,1953.3018898122368,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0
